Semester,Date,Day,Time,Department,Subject,Subject Code,
1st,20-03-2024,বৃহস্পতিবার,9:00 AM - 10:00 AM,পাওয়ার টেকনোলজি,ইংরেজি-১,25712,
1st,20-03-2024,বৃহস্পতিবার,9:00 AM - 10:00 AM,ইলেকট্রনিক্স টেকনোলজি,ইংরেজি-১,25712,
1st,20-03-2024,বৃহস্পতিবার,9:00 AM - 10:00 AM,কম্পিউটারসাইন্স এন্ড টেকনোলজি,ইংরেজি-১,25712,
1st,20-03-2024,বৃহস্পতিবার,9:00 AM - 10:00 AM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,ইংরেজি-১,25712,
1st,22-03-2024,শনিবার,9:00 AM - 10:00 AM,সিভিল টেকনোলজি,সোশ্যাল সায়েন্স,25811,
1st,22-03-2024,শনিবার,9:00 AM - 10:00 AM,ইলেকট্রিক্যাল টেকনোলজি,ইলেকট্রিক্যাল ইঞ্জিঃ ম্যাটেরিয়ালস,26712,
1st,22-03-2024,শনিবার,9:00 AM - 10:00 AM,পাওয়ার টেকনোলজি,সোশ্যাল সায়েন্স,25811,
1st,22-03-2024,শনিবার,9:00 AM - 10:00 AM,ইলেকট্রনিক্স টেকনোলজি,বেসিক ইলেকট্রনিক্স,26811,
1st,22-03-2024,শনিবার,9:00 AM - 10:00 AM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,হিউম্যান এনাটমি এন্ড ফিজিওলজি,28611,
1st,23-03-2024,রবিবার,9:00 AM - 10:00 AM,সিভিল টেকনোলজি,সিভিল ইঞ্জিনিয়ারিং ম্যাটেরিয়ালস,26411,
