Room No,Department,Roll
2010,1/CST,24852116
2010,1/CT,24642048
2010,1/CST,24852117
2010,1/CT,24711057
2010,1/CST,24711050
2010,1/CT,24852118
ADS,1/CT,24642066
ADS,1/PT,24712005
ADS,1/CT,24642073
ADS,1/PT,24712022
ADS,1/CT,24642079
ADS,1/PT,24711060
ADS,1/CT,24642072
ADS,1/PT,24712008
ADS,1/CT,24642078
ADS,1/PT,24712026
ADS,1/CT,24642084
ADS,1/PT,24712037
ADS,1/CT,24642068
ADS,1/PT,24712004
ADS,1/CT,24642074
ADS,1/PT,24712021
ADS,1/CT,24642080
ADS,1/PT,24712033
ADS,1/CT,24642087
ADS,1/PT,27711061
ADS,1/CT,24642071
ADS,1/PT,24712014
ADS,1/CT,24642077
ADS,1/PT,24712027
ADS,1/CT,24642083
ADS,1/PT,24712039
ADS,1/CT,24642069
ADS,1/PT,24712003
ADS,1/CT,24642075
ADS,1/PT,24712020
ADS,1/CT,24642081
ADS,1/PT,24712032
ADS,1/CT,24642088
ADS,1/PT,24712001
ADS,1/CT,24642070
ADS,1/CT,24712016
ADS,1/PT,24712028
ADS,1/CT,24642082
ADS,1/PT,24712040
301,1/CT,24642106
301,1/CT,24712056
301,1/PT,24712043
301,1/PT,24642094
301,1/PT,24712049
301,1/CT,24642104
301,1/CT,24642107
301,1/PT,24712058
301,1/PT,24712065
301,1/CT,24642116
301,1/PT,24712064
301,1/CT,24642114
301,1/CT,24642096
301,1/PT,24712054
301,1/PT,24642108
301,1/CT,24712050
301,1/PT,24642100
301,1/CT,24712051
301,1/PT,24642101
304,1/ET,24642117
304,1/CT,24712066
304,1/ET,24642118
304,1/CT,24712067
304,1/ET,24642120
304,1/CT,24712068
304,1/ET,24642121
304,1/CT,24712069
304,1/ET,24642123
D1,1/ET,24642141
D1,1/ET,24671009
D1,1/CT,24642143
D1,1/CT,24642153
D1,1/ET,24671018
D1,1/CT,24642154
D1,1/ET,24671020
D1,1/CT,24642156
D1,1/ET,24671030
D1,1/CT,24642164
D1,1/ET,24671029
D1,1/CT,24671031
D1,1/CT,24642165
D1,1/ET,24671041
D1,1/ET,24671010
D1,1/CT,24642145
D1,1/ET,24671011
D1,1/CT,24642152
D1,1/ET,24671016
D1,1/CT,24642151
D1,1/ET,24671021
D1,1/CT,24642157
D1,1/ET,24671022
D1,1/CT,24642163
D1,1/ET,24671028
D1,1/CT,24642162
D1,1/ET,24671032
D1,1/CT,24642166
D1,1/ET,24671033
D1,1/CT,24642172
D1,1/ET,24671040
D1,1/CT,24642171
D1,1/CT,24642147
D1,1/ET,24671015
D1,1/CT,24642158
D1,1/CT,24671012
D1,1/CT,24642148
D1,1/ET,24671013
D1,1/CT,24642149
D1,1/CT,24642159
D1,1/ET,24671026
D1,1/CT,24642161
D1,1/ET,24671025
D1,1/ET,24671024
D1,1/CT,24642167
D1,1/ET,24671034
D1,1/CT,24642168
D1,1/ET,24671036
D1,1/ET,24671039
D1,1/CT,24642170
D1,1/ET,24671038
D1,1/CT,24642169
LIBRARY,1/ENT,24642174
LIBRARY,1/ET,24671042
LIBRARY,1/ENT,24642175
LIBRARY,1/ET,X
LIBRARY,1/ET,24671043
LIBRARY,1/ENT,24642176
LIBRARY,1/ET,24671045
LIBRARY,1/ENT,24642177
LIBRARY,1/ET,24671046
LIBRARY,1/ENT,24642178
LIBRARY,1/ET,24671047
LIBRARY,1/ENT,24642179
LIBRARY,1/ET,24671048
305,1/ET,24681030
305,1/ET,24671075
305,1/ENT,24681036
305,1/ENT,24671090
305,1/ENT,24681051
305,1/ENT,24681032
305,1/ET,24671079
305,1/ENT,24681038
305,1/ENT,24681046
305,1/ET,24671076
305,1/ENT,24681035
305,1/ET,24671083
305,1/ET,24671091
305,1/ENT,24681033
305,1/ET,24671078
305,1/ET,24671077
305,1/ENT,24681039
305,1/ET,24671094
305,1/ENT,24681050
305,1/ET,24671093
305,1/ENT,24681034
307,1/ENT,24681053
307,1/ET,24671101
307,1/ENT,24681060
307,1/ET,24681066
307,1/ENT,24671108
307,1/ENT,24681072
307,1/ET,24671096
307,1/ENT,24681059
307,1/ET,24671102
307,1/ENT,24681054
307,1/ET,24671100
307,1/ENT,24681061
307,1/ENT,24681067
307,1/ET,24672002
307,1/ENT,24671109
307,1/ENT,24681071
307,1/ET,24671097
307,1/ENT,24681058
307,1/ET,24671103
307,1/ENT,24681055
307,1/ET,24671099
307,1/ENT,24681062
307,1/ET,24671105
307,1/ET,24671098
307,1/ENT,24671104
D2,1/ENT,24681073
D2,1/ET,24672004
D2,1/ENT,24681074
D2,1/ET,24672009
D2,1/ENT,24681075
D2,1/ET,24672010
D2,1/ET,24672021
D2,1/ENT,24681091
D2,1/ET,24672020
D2,1/ENT,24681090
D2,1/ENT,24681088
D2,1/ENT,24681094
D2,1/ET,24672022
D2,1/ENT,24681096
D2,1/ET,24672023
D2,1/ET,24672032
D2,1/ET,24681106
D2,1/ENT,24672033
D2,1/ET,24681108
D2,1/ET,24672030
D2,1/ENT,24681114
D2,1/ET,24681109
D2,1/ET,24681077
D2,1/ENT,24681087
D2,1/ET,24681103
D2,1/ENT,24681078
D2,1/ENT,24672036
D2,1/ENT,24681112
D2,1/ET,24672014
308,1/ET,24681116
308,1/ENT,24672043
308,1/ET,24681117
308,1/ENT,24672044
308,1/ET,24681118
308,1/ENT,24672045
308,1/ET,24681119
308,1/ENT,24672046
